datetime,water_acre_feet
2016-01-01 00:00:00-08:00,7122110
2016-01-01 01:00:00-08:00,6520032
2016-01-01 02:00:00-08:00,6325227
2016-01-01 03:00:00-08:00,6520067
2016-01-01 04:00:00-08:00,6520164
2016-01-01 05:00:00-08:00,6520242
2016-01-01 06:00:00-08:00,6520886
2016-01-01 07:00:00-08:00,6520951
2016-01-01 08:00:00-08:00,6520436
2016-01-01 09:00:00-08:00,6520967
2016-01-01 10:00:00-08:00,6520821
2016-01-01 11:00:00-08:00,6536105
2016-01-01 12:00:00-08:00,6520755
2016-01-01 13:00:00-08:00,6520406
2016-01-01 14:00:00-08:00,6520308
2016-01-01 15:00:00-08:00,6520200
2016-01-01 16:00:00-08:00,6520295
2016-01-01 17:00:00-08:00,6521823
2016-01-01 18:00:00-08:00,6841020
2016-01-01 19:00:00-08:00,6521091
2016-01-01 20:00:00-08:00,6521108
2016-01-01 21:00:00-08:00,6522452
2016-01-01 22:00:00-08:00,6657045
2016-01-01 23:00:00-08:00,6411786
2016-01-02 00:00:00-08:00,6525100
2016-01-02 01:00:00-08:00,6526971
2016-01-02 02:00:00-08:00,6526283
2016-01-02 03:00:00-08:00,6527678
2016-01-02 04:00:00-08:00,6527642
2016-01-02 05:00:00-08:00,6528126
2016-01-02 06:00:00-08:00,6528617
2016-01-02 07:00:00-08:00,6529170
2016-01-02 08:00:00-08:00,6529380
2016-01-02 09:00:00-08:00,6529988
2016-01-02 10:00:00-08:00,6529485
2016-01-02 11:00:00-08:00,6529290
2016-01-02 12:00:00-08:00,6371804
2016-01-02 13:00:00-08:00,6529416
2016-01-02 14:00:00-08:00,6528939
2016-01-02 15:00:00-08:00,6529458
2016-01-02 16:00:00-08:00,6530103
2016-01-02 17:00:00-08:00,6665121
2016-01-02 18:00:00-08:00,6531470
2016-01-02 19:00:00-08:00,6531017
2016-01-02 20:00:00-08:00,6531182
2016-01-02 21:00:00-08:00,6531817
2016-01-02 22:00:00-08:00,6532591
2016-01-02 23:00:00-08:00,6377384
2016-01-03 00:00:00-08:00,6534070
2016-01-03 01:00:00-08:00,6397198
2016-01-03 02:00:00-08:00,6536246
2016-01-03 03:00:00-08:00,6854332
2016-01-03 04:00:00-08:00,6536431
2016-01-03 05:00:00-08:00,6375500
2016-01-03 06:00:00-08:00,6536730
2016-01-03 07:00:00-08:00,6526235
2016-01-03 08:00:00-08:00,6537466
2016-01-03 09:00:00-08:00,6537776
2016-01-03 10:00:00-08:00,6538344
2016-01-03 11:00:00-08:00,6538376
2016-01-03 12:00:00-08:00,6538664
2016-01-03 13:00:00-08:00,6540310
2016-01-03 14:00:00-08:00,6540433
2016-01-03 15:00:00-08:00,6537994
2016-01-03 16:00:00-08:00,6538333
2016-01-03 17:00:00-08:00,6493021
2016-01-03 18:00:00-08:00,6538005
2016-01-03 19:00:00-08:00,6538953
2016-01-03 20:00:00-08:00,6539250
2016-01-03 21:00:00-08:00,6539649
2016-01-03 22:00:00-08:00,6858706
2016-01-03 23:00:00-08:00,5809330
2016-01-04 00:00:00-08:00,5846318
2016-01-04 01:00:00-08:00,6543316
2016-01-04 02:00:00-08:00,6398085
2016-01-04 03:00:00-08:00,6493192
2016-01-04 04:00:00-08:00,6544059
2016-01-04 05:00:00-08:00,6543822
2016-01-04 06:00:00-08:00,6544164
2016-01-04 07:00:00-08:00,6493596
2016-01-04 08:00:00-08:00,6544138
2016-01-04 09:00:00-08:00,6545419
2016-01-04 10:00:00-08:00,6545567
2016-01-04 11:00:00-08:00,6539141
2016-01-04 12:00:00-08:00,6463443
2016-01-04 13:00:00-08:00,6401735
2016-01-04 14:00:00-08:00,6548046
2016-01-04 15:00:00-08:00,6548651
2016-01-04 16:00:00-08:00,6549108
2016-01-04 17:00:00-08:00,6549270
2016-01-04 18:00:00-08:00,6549873
2016-01-04 19:00:00-08:00,6550810
2016-01-04 20:00:00-08:00,6551519
2016-01-04 21:00:00-08:00,6390206
2016-01-04 22:00:00-08:00,6438570
2016-01-04 23:00:00-08:00,6407433
2016-01-05 00:00:00-08:00,6553441
2016-01-05 01:00:00-08:00,6554457
2016-01-05 02:00:00-08:00,5856042
2016-01-05 03:00:00-08:00,5883437
2016-01-05 04:00:00-08:00,6051933
2016-01-05 05:00:00-08:00,6415951
2016-01-05 06:00:00-08:00,6509615
2016-01-05 07:00:00-08:00,6561504
2016-01-05 08:00:00-08:00,6562315
2016-01-05 09:00:00-08:00,6564410
2016-01-05 10:00:00-08:00,6566484
2016-01-05 11:00:00-08:00,7098288
2016-01-05 12:00:00-08:00,6569615
2016-01-05 13:00:00-08:00,7417758
2016-01-05 14:00:00-08:00,6571602
